"idhod","hodnota","stapro_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","rok","tyden","roktyden","casref_od","casref_do","vek_txt","priznak"
"832459719","9","5393","7700","400000610015000","97","19","2011","01","2011-W01","2011-01-03","2011-01-09","0-14",
"832460200","55","5393","7700","410015610040000","97","19","2011","01","2011-W01","2011-01-03","2011-01-09","15-39",
"832460678","457","5393","7700","410040610065000","97","19","2011","01","2011-W01","2011-01-03","2011-01-09","40-64",
"845364452","469","5393","7700","410065610075000","97","19","2011","01","2011-W01","2011-01-03","2011-01-09","65-74",
"845364966","682","5393","7700","410075610085000","97","19","2011","01","2011-W01","2011-01-03","2011-01-09","75-84",
"832461643","577","5393","7700","410085799999000","97","19","2011","01","2011-W01","2011-01-03","2011-01-09","85 a více",
"832462584","2249","5393",,,"97","19","2011","01","2011-W01","2011-01-03","2011-01-09","celkem",
"832459729","13","5393","7700","400000610015000","97","19","2011","02","2011-W02","2011-01-10","2011-01-16","0-14",
"832460210","34","5393","7700","410015610040000","97","19","2011","02","2011-W02","2011-01-10","2011-01-16","15-39",
"832460691","432","5393","7700","410040610065000","97","19","2011","02","2011-W02","2011-01-10","2011-01-16","40-64",
"845364462","428","5393","7700","410065610075000","97","19","2011","02","2011-W02","2011-01-10","2011-01-16","65-74",
"845364976","669","5393","7700","410075610085000","97","19","2011","02","2011-W02","2011-01-10","2011-01-16","75-84",
"832461654","541","5393","7700","410085799999000","97","19","2011","02","2011-W02","2011-01-10","2011-01-16","85 a více",
"832462307","2117","5393",,,"97","19","2011","02","2011-W02","2011-01-10","2011-01-16","celkem",
"832459739","13","5393","7700","400000610015000","97","19","2011","03","2011-W03","2011-01-17","2011-01-23","0-14",
"832460220","42","5393","7700","410015610040000","97","19","2011","03","2011-W03","2011-01-17","2011-01-23","15-39",
"832460701","426","5393","7700","410040610065000","97","19","2011","03","2011-W03","2011-01-17","2011-01-23","40-64",
"845364472","411","5393","7700","410065610075000","97","19","2011","03","2011-W03","2011-01-17","2011-01-23","65-74",
"845364986","692","5393","7700","410075610085000","97","19","2011","03","2011-W03","2011-01-17","2011-01-23","75-84",
"832461663","555","5393","7700","410085799999000","97","19","2011","03","2011-W03","2011-01-17","2011-01-23","85 a více",
"832462342","2139","5393",,,"97","19","2011","03","2011-W03","2011-01-17","2011-01-23","celkem",
"832459749","9","5393","7700","400000610015000","97","19","2011","04","2011-W04","2011-01-24","2011-01-30","0-14",
"832460230","36","5393","7700","410015610040000","97","19","2011","04","2011-W04","2011-01-24","2011-01-30","15-39",
"832460711","437","5393","7700","410040610065000","97","19","2011","04","2011-W04","2011-01-24","2011-01-30","40-64",
"845364482","415","5393","7700","410065610075000","97","19","2011","04","2011-W04","2011-01-24","2011-01-30","65-74",
"845364993","662","5393","7700","410075610085000","97","19","2011","04","2011-W04","2011-01-24","2011-01-30","75-84",
"832461673","528","5393","7700","410085799999000","97","19","2011","04","2011-W04","2011-01-24","2011-01-30","85 a více",
"832462194","2087","5393",,,"97","19","2011","04","2011-W04","2011-01-24","2011-01-30","celkem",
"832459759","14","5393","7700","400000610015000","97","19","2011","05","2011-W05","2011-01-31","2011-02-06","0-14",
"832460240","54","5393","7700","410015610040000","97","19","2011","05","2011-W05","2011-01-31","2011-02-06","15-39",
"832460721","500","5393","7700","410040610065000","97","19","2011","05","2011-W05","2011-01-31","2011-02-06","40-64",
"845364492","481","5393","7700","410065610075000","97","19","2011","05","2011-W05","2011-01-31","2011-02-06","65-74",
"845365006","682","5393","7700","410075610085000","97","19","2011","05","2011-W05","2011-01-31","2011-02-06","75-84",
"832461683","543","5393","7700","410085799999000","97","19","2011","05","2011-W05","2011-01-31","2011-02-06","85 a více",
"832462319","2274","5393",,,"97","19","2011","05","2011-W05","2011-01-31","2011-02-06","celkem",
"832459769","14","5393","7700","400000610015000","97","19","2011","06","2011-W06","2011-02-07","2011-02-13","0-14",
"832460250","54","5393","7700","410015610040000","97","19","2011","06","2011-W06","2011-02-07","2011-02-13","15-39",
"832460731","439","5393","7700","410040610065000","97","19","2011","06","2011-W06","2011-02-07","2011-02-13","40-64",
"845364502","464","5393","7700","410065610075000","97","19","2011","06","2011-W06","2011-02-07","2011-02-13","65-74",
"845365016","731","5393","7700","410075610085000","97","19","2011","06","2011-W06","2011-02-07","2011-02-13","75-84",
"832461693","573","5393","7700","410085799999000","97","19","2011","06","2011-W06","2011-02-07","2011-02-13","85 a více",
"832462402","2275","5393",,,"97","19","2011","06","2011-W06","2011-02-07","2011-02-13","celkem",
"832459779","5","5393","7700","400000610015000","97","19","2011","07","2011-W07","2011-02-14","2011-02-20","0-14",
"832460260","36","5393","7700","410015610040000","97","19","2011","07","2011-W07","2011-02-14","2011-02-20","15-39",
"832460742","477","5393","7700","410040610065000","97","19","2011","07","2011-W07","2011-02-14","2011-02-20","40-64",
"845364512","461","5393","7700","410065610075000","97","19","2011","07","2011-W07","2011-02-14","2011-02-20","65-74",
"845365026","723","5393","7700","410075610085000","97","19","2011","07","2011-W07","2011-02-14","2011-02-20","75-84",
"832461703","550","5393","7700","410085799999000","97","19","2011","07","2011-W07","2011-02-14","2011-02-20","85 a více",
"832462338","2252","5393",,,"97","19","2011","07","2011-W07","2011-02-14","2011-02-20","celkem",
"832459789","13","5393","7700","400000610015000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","0-14",
"832460270","56","5393","7700","410015610040000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","15-39",
"832460751","481","5393","7700","410040610065000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","40-64",
"845364522","490","5393","7700","410065610075000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","65-74",
